status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,829000,2,2,17.48,"250 Hammond Pond Pkwy Apt 213S, Newton, MA, 02467",250 Hammond Pond Pkwy Apt 213S,Newton,Massachusetts,2467,1285,4/26/12
for_sale,1250000,7,4,0.11,"128 Lawrence St, Medford, MA, 02155",128 Lawrence St,Medford,Massachusetts,2155,3373,11/4/16
for_sale,580000,2,1,,"9 Eliot St Apt 2, Boston, MA, 02130",9 Eliot St Apt 2,Boston,Massachusetts,2130,813,10/16/18
for_sale,579000,4,1,0.03,"10 Montfern Ave Unit 3, Boston, MA, 02135",10 Montfern Ave Unit 3,Boston,Massachusetts,2135,1266,7/13/11
for_sale,585000,2,2,0.02,"9 Hastings St Apt 1, Boston, MA, 02132",9 Hastings St Apt 1,Boston,Massachusetts,2132,968,3/25/21
for_sale,740000,3,2,,"43 Lourdes Ave Apt 2, Boston, MA, 02130",43 Lourdes Ave Apt 2,Boston,Massachusetts,2130,1181,5/13/11
for_sale,849000,2,2,0.02,"255 Northampton St Unit 405, Boston, MA, 02118",255 Northampton St Unit 405,Boston,Massachusetts,2118,1004,10/29/10
for_sale,1049000,2,1,,"23 Worcester St Apt 1, Boston, MA, 02118",23 Worcester St Apt 1,Boston,Massachusetts,2118,974,11/23/10
for_sale,640000,,1,,"328 Dartmouth St Apt 8, Boston, MA, 02116",328 Dartmouth St Apt 8,Boston,Massachusetts,2116,439,7/12/18
for_sale,1000000,3,3,,"1 Upham Way Unit 1, Weston, MA, 02493",1 Upham Way Unit 1,Weston,Massachusetts,2493,2990,3/31/21
for_sale,579000,1,1,0.02,"30 Peterborough St Apt 34, Boston, MA, 02215",30 Peterborough St Apt 34,Boston,Massachusetts,2215,659,4/20/10
for_sale,769000,1,1,,"405 Commonwealth Ave Apt 10, Boston, MA, 02215",405 Commonwealth Ave Apt 10,Boston,Massachusetts,2215,697,11/1/18
for_sale,639900,3,1,0.2,"5 Woodcrest Dr, Wakefield, MA, 01880",5 Woodcrest Dr,Wakefield,Massachusetts,1880,1600,5/28/10
for_sale,639000,,1,0.01,"342 Commonwealth Ave Apt 4, Boston, MA, 02115",342 Commonwealth Ave Apt 4,Boston,Massachusetts,2115,530,8/3/12
for_sale,2599000,2,2,,"100 Belvidere St Apt 7D, Boston, MA, 02199",100 Belvidere St Apt 7D,Boston,Massachusetts,2199,1493,6/10/21
for_sale,290000,2,2,,"11 W Bowers St Apt 5, Lowell, MA, 01854",11 W Bowers St Apt 5,Lowell,Massachusetts,1854,908,7/31/18
for_sale,672777,2,3,,"32 Old Framingham Rd Unit 40, Sudbury, MA, 01776",32 Old Framingham Rd Unit 40,Sudbury,Massachusetts,1776,2422,3/3/14
for_sale,448500,1,1,,"75 Augustus Ct Unit 2003, Reading, MA, 01867",75 Augustus Ct Unit 2003,Reading,Massachusetts,1867,955,6/17/13
for_sale,719900,4,2,0.38,"347 Wood Ln, North Andover, MA, 01845",347 Wood Ln,North Andover,Massachusetts,1845,2218,10/28/21
for_sale,499900,3,2,,"159 Allen Rd Unit 25, Billerica, MA, 01821",159 Allen Rd Unit 25,Billerica,Massachusetts,1821,2047,5/22/20
for_sale,679000,2,2,,"65 Jericho Rd Unit 65, Weston, MA, 02493",65 Jericho Rd Unit 65,Weston,Massachusetts,2493,1359,3/25/20
for_sale,525000,2,1,,"104 Farquhar St Unit 1, Boston, MA, 02131",104 Farquhar St Unit 1,Boston,Massachusetts,2131,1000,12/6/19
for_sale,658000,2,1,,"32 Unity Ave Unit 32, Belmont, MA, 02478",32 Unity Ave Unit 32,Belmont,Massachusetts,2478,1061,9/20/18
for_sale,950000,2,1,0.02,"129 Pembroke St Apt 4, Boston, MA, 02118",129 Pembroke St Apt 4,Boston,Massachusetts,2118,750,7/2/14
for_sale,3550000,3,3,0.04,"400 Stuart St Unit 19A, Boston, MA, 02116",400 Stuart St Unit 19A,Boston,Massachusetts,2116,1795,1/5/10
for_sale,495000,2,2,,"150 North Rd Unit 8, Sudbury, MA, 01776",150 North Rd Unit 8,Sudbury,Massachusetts,1776,1662,5/11/15
for_sale,675000,2,1,,"61 Park Dr Apt 21, Boston, MA, 02215",61 Park Dr Apt 21,Boston,Massachusetts,2215,1007,5/1/13
for_sale,799000,1,1,,"262 Monsignor Obrien Hwy Apt 703, Cambridge, MA, 02141",262 Monsignor Obrien Hwy Apt 703,Cambridge,Massachusetts,2141,781,7/2/19
for_sale,4475000,4,4,,"105 Marlborough St Apt 1, Boston, MA, 02116",105 Marlborough St Apt 1,Boston,Massachusetts,2116,2650,8/15/19
for_sale,599900,3,2,0.03,"12 Auburn Ct, Malden, MA, 02148",12 Auburn Ct,Malden,Massachusetts,2148,1612,2/3/12
for_sale,639000,2,3,,"43 Meeting House Ln Unit 43, Southborough, MA, 01772",43 Meeting House Ln Unit 43,Southborough,Massachusetts,1772,2208,12/18/15
for_sale,539000,2,1,,"52 Weld Hill St Apt 3, Boston, MA, 02130",52 Weld Hill St Apt 3,Boston,Massachusetts,2130,1051,10/30/19
for_sale,279900,2,1,,"2 Fernview Ave Apt 10, North Andover, MA, 01845",2 Fernview Ave Apt 10,North Andover,Massachusetts,1845,850,7/12/19
for_sale,639000,2,2,,"3920 Mystic Valley Pkwy Apt 509, Medford, MA, 02155",3920 Mystic Valley Pkwy Apt 509,Medford,Massachusetts,2155,1206,1/14/20
for_sale,1399000,4,3,0.51,"9 Benjamin Rd, Lexington, MA, 02421",9 Benjamin Rd,Lexington,Massachusetts,2421,2361,7/16/21
for_sale,1275000,2,2,,"216 Summit Ave Unit C3, Brookline, MA, 02446",216 Summit Ave Unit C3,Brookline,Massachusetts,2446,1213,7/22/19
for_sale,2050000,2,3,0.04,"192 W Springfield St Apt 1, Boston, MA, 02118",192 W Springfield St Apt 1,Boston,Massachusetts,2118,1898,5/23/19
for_sale,980000,3,3,,"1304 Commonwealth Ave Apt 4, Boston, MA, 02134",1304 Commonwealth Ave Apt 4,Boston,Massachusetts,2134,2087,5/6/11
for_sale,380000,2,2,,"206 Meadows Edge Unit 206, Acton, MA, 01718",206 Meadows Edge Unit 206,Acton,Massachusetts,1718,1338,2/19/19
for_sale,399000,1,1,0.01,"43 Park Vale Ave Apt 9, Boston, MA, 02134",43 Park Vale Ave Apt 9,Boston,Massachusetts,2134,578,6/3/13
for_sale,1750000,4,4,0.93,"391 Walnut St Unit 9, Newton, MA, 02460",391 Walnut St Unit 9,Newton,Massachusetts,2460,2220,6/15/12
for_sale,399000,2,2,,"41 Boston Rd Unit 324, Billerica, MA, 01862",41 Boston Rd Unit 324,Billerica,Massachusetts,1862,1020,5/17/13
for_sale,399000,3,2,,"12 Apple Ridge Rd Unit 4, Maynard, MA, 01754",12 Apple Ridge Rd Unit 4,Maynard,Massachusetts,1754,2211,3/15/19
for_sale,499900,1,1,0.38,"39 Commonwealth Ave Apt 11, Newton, MA, 02467",39 Commonwealth Ave Apt 11,Newton,Massachusetts,2467,840,9/14/20
for_sale,1199000,3,3,,"32 Jackson Rd Unit A, Somerville, MA, 02145",32 Jackson Rd Unit A,Somerville,Massachusetts,2145,2308,4/15/20
for_sale,700000,2,1,0.02,"27 Seaverns Ave Unit 1, Boston, MA, 02130",27 Seaverns Ave Unit 1,Boston,Massachusetts,2130,968,4/30/18
for_sale,1262500,2,2,,"55 Magazine St Apt 64, Cambridge, MA, 02139",55 Magazine St Apt 64,Cambridge,Massachusetts,2139,1208,7/11/11
for_sale,619900,2,1,0.03,"47 Berwick St Unit 1, Belmont, MA, 02478",47 Berwick St Unit 1,Belmont,Massachusetts,2478,1138,10/31/18
for_sale,1895000,2,3,,"155 Brookline St Apt 12, Cambridge, MA, 02139",155 Brookline St Apt 12,Cambridge,Massachusetts,2139,1987,10/28/20
for_sale,319000,2,2,,"287 Central St Unit 287, Acton, MA, 01720",287 Central St Unit 287,Acton,Massachusetts,1720,918,12/21/11
for_sale,379900,2,2,0,"91 Merrimack Meadows Ln Unit 91, Tewksbury, MA, 01876",91 Merrimack Meadows Ln Unit 91,Tewksbury,Massachusetts,1876,1026,4/28/20
for_sale,369900,1,2,,"100 Rosemary Way Apt 203, Needham, MA, 02494",100 Rosemary Way Apt 203,Needham,Massachusetts,2494,669,3/16/12
for_sale,460000,2,2,,"235 Winthrop St Apt 3311, Medford, MA, 02155",235 Winthrop St Apt 3311,Medford,Massachusetts,2155,1200,12/17/10
for_sale,2999000,3,4,,"201 W Brookline St Apt 202, Boston, MA, 02118",201 W Brookline St Apt 202,Boston,Massachusetts,2118,2458,3/13/19
